id,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW230518_125908-v1,GW230518_125908,1,GWTC-4.0,1368449966.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230518_125908/v1,8.17,-0.92,0.84,1.45,-0.1,0.13,14.1,,,236.0,-96.0,108.0,-0.01,-0.11,0.09,9.61,-0.79,0.76,2.8,-0.06,0.06,,,,0.05,-0.02,0.02,1e-05,,,0.99,,,,,
GW230529_181500-v2,GW230529_181500,2,GWTC-4.0,1369419318.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230529_181500/v2,3.66,-1.21,0.81,1.42,-0.22,0.6,11.8,,,202.0,-98.0,103.0,-0.1,-0.18,0.12,5.08,-0.6,0.6,1.94,-0.04,0.04,,,,0.04,-0.02,0.02,0.00022,,,0.99,,,,,
GW230531_141100-v1,GW230531_141100,1,GWTC-4.0,1369577478.3,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230531_141100/v1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,3.5,,,0.69,,,,,
GW230601_224134-v1,GW230601_224134,1,GWTC-4.0,1369694512.1,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230601_224134/v1,64.0,-13.0,17.0,44.0,-15.0,14.0,13.4,,,3700.0,-1800.0,2100.0,-0.03,-0.32,0.27,107.0,-15.0,22.0,45.0,-7.3,10.0,,,,0.6,-0.26,0.28,1e-05,,,0.99,,,102.0,-14.0,21.0
GW230603_174756-v1,GW230603_174756,1,GWTC-4.0,1369849694.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230603_174756/v1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,8.4,,,0.73,,,,,
GW230605_065343-v1,GW230605_065343,1,GWTC-4.0,1369983241.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230605_065343/v1,17.2,-3.5,6.5,11.1,-2.7,2.5,11.4,,,1060.0,-480.0,610.0,0.06,-0.1,0.16,28.6,-2.8,4.0,11.94,-0.94,0.96,,,,0.21,-0.09,0.1,1e-05,,,0.99,,,27.3,-2.7,4.1
GW230606_004305-v1,GW230606_004305,1,GWTC-4.0,1370047403.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230606_004305/v1,37.6,-7.6,13.4,25.8,-8.3,8.1,11.1,,,2700.0,-1400.0,1500.0,-0.11,-0.31,0.26,63.4,-8.3,13.4,26.5,-3.6,5.7,,,,0.48,-0.22,0.2,0.00041,,,0.99,,,60.7,-7.9,12.8
GW230606_024545-v1,GW230606_024545,1,GWTC-4.0,1370054763.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230606_024545/v1,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,3.2,,,0.88,,,,,
GW230608_205047-v1,GW230608_205047,1,GWTC-4.0,1370292665.2,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230608_205047/v1,48.0,-11.0,13.0,31.0,-11.0,11.0,10.2,,,3500.0,-1700.0,2200.0,0.04,-0.26,0.25,79.0,-11.0,16.0,32.8,-5.4,7.3,,,,0.58,-0.26,0.29,0.0012,,,0.99,,,75.0,-11.0,15.0
GW230609_010824-v1,GW230609_010824,1,GWTC-4.0,1370308122.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230609_010824/v1,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,2.8,,,0.81,,,,,
GW230609_064958-v1,GW230609_064958,1,GWTC-4.0,1370328616.3,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230609_064958/v1,35.3,-6.9,10.7,25.2,-7.5,7.5,10.6,,,3400.0,-1700.0,1900.0,-0.14,-0.27,0.22,60.3,-8.0,12.9,25.5,-3.6,5.8,,,,0.56,-0.25,0.25,0.00014,,,0.99,,,57.8,-7.7,12.2
GW230615_160825-v1,GW230615_160825,1,GWTC-4.0,1370880524.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230615_160825/v1,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,4.3,,,0.5,,,,,
GW230618_102550-v1,GW230618_102550,1,GWTC-4.0,1371119168.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230618_102550/v1,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,49.00000000000001,,,0.59,,,,,
GW230624_113103-v1,GW230624_113103,1,GWTC-4.0,1371641481.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230624_113103/v1,27.2,-6.9,13.4,16.1,-4.5,4.8,11.4,,,1940.0,-970.0,1270.0,0.17,-0.25,0.29,43.8,-6.6,11.1,18.0,-2.4,3.2,,,,0.35,-0.16,0.19,0.00017999999999999998,,,0.99,,,41.8,-6.3,10.7
GW230624_214944-v1,GW230624_214944,1,GWTC-4.0,1371678602.5,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230624_214944/v1,,,,,,,10.6,,,,,,,,,,,,,,,,,,,,,2.2,,,0.69,,,,,
GW230625_211655-v1,GW230625_211655,1,GWTC-4.0,1371763033.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230625_211655/v1,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,42.0,,,0.61,,,,,
GW230627_015337-v1,GW230627_015337,1,GWTC-4.0,1371866035.8,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230627_015337/v1,8.4,-1.3,1.7,5.79,-0.92,0.95,28.7,,,305.0,-134.0,65.0,0.02,-0.03,0.08,14.19,-0.45,0.77,6.02,-0.07,0.16,,,,0.07,-0.03,0.01,1e-05,,,0.99,,,13.54,-0.45,0.82
GW230628_231200-v1,GW230628_231200,1,GWTC-4.0,1372029138.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230628_231200/v1,32.5,-3.9,5.9,27.1,-5.2,4.9,16.4,,,2250.0,-1070.0,800.0,-0.01,-0.16,0.16,59.3,-4.9,8.6,25.5,-2.2,3.8,,,,0.4,-0.17,0.12,1e-05,,,0.99,,,56.5,-4.6,8.1
GW230630_070659-v1,GW230630_070659,1,GWTC-4.0,1372144037.0,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230630_070659/v1,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,0.47000000000000003,,,0.88,,,,,
GW230630_125806-v1,GW230630_125806,1,GWTC-4.0,1372165104.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230630_125806/v1,51.0,-14.0,20.0,33.0,-13.0,15.0,9.0,,,5400.0,-3000.0,5100.0,0.17,-0.31,0.3,84.0,-19.0,26.0,35.0,-8.5,11.4,,,,0.83,-0.41,0.59,0.16,,,0.99,,,80.0,-18.0,25.0
GW230630_234532-v1,GW230630_234532,1,GWTC-4.0,1372203950.4,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230630_234532/v1,10.0,-1.8,3.5,6.6,-1.6,1.5,9.9,,,1080.0,-480.0,520.0,-0.04,-0.08,0.16,16.8,-1.4,2.1,7.06,-0.48,0.57,,,,0.21,-0.09,0.09,0.00042,,,0.99,,,16.1,-1.4,2.1
GW230702_162025-v1,GW230702_162025,1,GWTC-4.0,1372350043.9,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230702_162025/v1,,,,,,,9.2,,,,,,,,,,,,,,,,,,,,,6.5,,,0.6,,,,,
GW230702_185453-v1,GW230702_185453,1,GWTC-4.0,1372359311.7,/GWTC-4.0/,https://gwosc.org/eventapi/json/GWTC-4.0/GW230702_185453/v1,40.0,-13.0,20.0,18.0,-6.5,8.5,10.1,,,2400.0,-1100.0,1900.0,0.05,-0.26,0.29,60.0,-11.0,15.0,22.9,-3.5,4.0,,,,0.43,-0.17,0.27,1e-05,,,0.99,,,57.0,-11.0,15.0
